Date,1306.T,7203.T
2016-03-30,1407.0,953.2774047851562
2016-03-31,1397.0,945.6511840820312
2016-04-01,1346.0,916.8939819335938
2016-04-04,1350.0,893.6976318359375
2016-04-05,1314.0,864.1460571289062
2016-04-06,1314.0,867.005859375
2016-04-07,1319.0,861.762939453125
2016-04-08,1333.0,868.5946655273438
2016-04-11,1329.0,838.56640625
2016-04-12,1348.0,871.4544677734375
2016-04-13,1380.0,893.3796997070312
2016-04-14,1419.0,922.454833984375
2016-04-15,1407.0,911.9686889648438
2016-04-18,1368.0,868.5946655273438
2016-04-19,1413.0,902.43603515625
2016-04-20,1415.0,896.5574340820312
2016-04-21,1440.0,925.3145751953125
2016-04-22,1457.0,940.4082641601562
2016-04-25,1452.0,952.0064086914062
2016-04-26,1441.0,945.1747436523438
2016-04-27,1436.0,928.6510620117188
2016-04-28,1389.0,898.3051147460938
2016-05-02,1347.0,864.62255859375
2016-05-06,1345.0,870.3422241210938
2016-05-09,1354.0,882.4170532226562
2016-05-10,1383.0,901.9593505859375
2016-05-11,1381.0,895.1276245117188
2016-05-12,1386.0,882.2581176757812
2016-05-13,1367.0,866.5292358398438
2016-05-16,1368.0,868.5946655273438
2016-05-17,1386.0,879.0806884765625
2016-05-18,1388.0,879.7162475585938
2016-05-19,1384.0,872.8843994140625
2016-05-20,1393.0,883.6881103515625
2016-05-23,1388.0,874.7908325195312
2016-05-24,1376.0,862.5571899414062
2016-05-25,1394.0,882.5759887695312
2016-05-26,1393.0,889.0899047851562
2016-05-27,1401.0,887.9779052734375
2016-05-30,1417.0,902.5949096679688
2016-05-31,1429.0,918.8007202148438
2016-06-01,1413.0,914.3519287109375
2016-06-02,1381.0,900.6883544921875
2016-06-03,1387.0,901.6415405273438
2016-06-06,1383.0,900.3705444335938
2016-06-07,1391.0,898.3051147460938
2016-06-08,1401.0,902.5949096679688
2016-06-09,1385.0,890.2022705078125
2016-06-10,1379.0,894.015380859375
2016-06-13,1331.0,862.3982543945312
2016-06-14,1320.0,856.8373413085938
2016-06-15,1324.0,867.9590454101562
2016-06-16,1289.0,839.0430297851562
2016-06-17,1298.0,861.2861328125
2016-06-20,1326.0,884.6414184570312
2016-06-21,1343.0,895.6041259765625
2016-06-22,1333.0,890.8377685546875
2016-06-23,1346.0,911.4923095703125
2016-06-24,1246.0,832.5289916992188
2016-06-27,1271.0,818.388671875
2016-06-28,1272.0,790.4258422851562
2016-06-29,1297.0,813.3045654296875
2016-06-30,1295.0,802.65966796875
2016-07-01,1302.0,811.39794921875
2016-07-04,1310.0,814.5755615234375
2016-07-05,1303.0,818.7064819335938
2016-07-06,1252.0,804.5661010742188
2016-07-07,1246.0,805.9960327148438
2016-07-08,1227.0,803.1362915039062
2016-07-11,1275.0,803.1362915039062
2016-07-12,1308.0,864.781494140625
2016-07-13,1320.0,894.1741943359375
2016-07-14,1331.0,897.3518676757812
2016-07-15,1336.0,914.9874267578125
2016-07-19,1351.0,918.9593505859375
2016-07-20,1352.0,917.5294799804688
2016-07-21,1358.0,933.4176025390625
2016-07-22,1346.0,927.5389404296875
2016-07-25,1345.0,928.8099365234375
2016-07-26,1328.0,905.4550170898438
2016-07-27,1346.0,931.9874877929688
2016-07-28,1329.0,930.87548828125
2016-07-29,1342.0,936.436279296875
2016-08-01,1342.0,921.0247802734375
2016-08-02,1318.0,904.9779663085938
2016-08-03,1290.0,887.9779052734375
2016-08-04,1304.0,904.1836547851562
2016-08-05,1300.0,931.0343017578125
2016-08-08,1325.0,962.015869140625
2016-08-09,1336.0,955.0250244140625
2016-08-10,1334.0,944.3801879882812
2016-08-12,1344.0,953.2774047851562
2016-08-15,1338.0,945.33349609375
2016-08-16,1317.0,933.4176025390625
2016-08-17,1332.0,954.2306518554688
2016-08-18,1312.0,937.3895263671875
2016-08-19,1317.0,957.4082641601562
2016-08-22,1323.0,969.16552734375
2016-08-23,1316.0,952.8008422851562
2016-08-24,1325.0,972.3428955078125
2016-08-25,1323.0,971.7074584960938
2016-08-26,1307.0,939.1371459960938
2016-08-29,1335.0,976.6328125
2016-08-30,1335.0,982.8289794921875
2016-08-31,1350.0,991.0909423828125
2016-09-01,1358.0,998.3992919921875
2016-09-02,1362.0,995.5393676757812
2016-09-05,1367.0,995.2216796875
2016-09-06,1375.0,990.6140747070312
2016-09-07,1371.0,982.5114135742188
2016-09-08,1368.0,983.4644775390625
2016-09-09,1366.0,980.4458618164062
2016-09-12,1342.0,968.0532836914062
2016-09-13,1346.0,970.5953369140625
2016-09-14,1334.0,961.2214965820312
2016-09-15,1323.0,948.5111083984375
2016-09-16,1335.0,931.9874877929688
2016-09-20,1338.0,945.6511840820312
2016-09-21,1375.0,976.1561889648438
2016-09-23,1372.0,945.33349609375
2016-09-26,1357.0,940.0904541015625
2016-09-27,1371.0,955.5017700195312
2016-09-28,1363.0,948.7159423828125
2016-09-29,1379.0,952.9165649414062
2016-09-30,1353.0,933.6902465820312
2016-10-03,1362.0,935.6290893554688
2016-10-04,1372.0,953.078369140625
2016-10-05,1381.0,967.4574584960938
2016-10-06,1387.0,974.5665893554688
2016-10-07,1383.0,970.3657836914062
2016-10-11,1389.0,971.8199462890625
2016-10-12,1376.0,962.4490966796875
2016-10-13,1374.0,964.3878173828125
2016-10-14,1379.0,968.2655029296875
2016-10-17,1386.0,974.2432250976562
2016-10-18,1389.0,967.7807006835938
2016-10-19,1392.0,961.802978515625
2016-10-20,1404.0,975.5360107421875
2016-10-21,1398.0,964.87255859375
2016-10-24,1402.0,962.2874755859375
