Date,SP500,MCD
2016-06-06,2109.409912109375,107.54930114746094
2016-06-07,2112.1298828125,107.4611587524414
2016-06-08,2119.1201171875,107.64630126953125
2016-06-09,2115.47998046875,108.24573516845703
2016-06-10,2096.070068359375,107.8666763305664
2016-06-13,2079.06005859375,108.42206573486328
2016-06-14,2075.320068359375,107.99891662597656
2016-06-15,2071.5,107.76969909667969
2016-06-16,2077.989990234375,107.96365356445312
2016-06-17,2071.219970703125,107.78732299804688
2016-06-20,2083.25,108.80111694335938
2016-06-21,2088.89990234375,108.10466766357422
2016-06-22,2085.449951171875,106.332763671875
2016-06-23,2113.320068359375,106.85286712646484
2016-06-24,2037.4100341796875,105.29254150390625
2016-06-27,2000.5400390625,102.52446746826172
2016-06-28,2036.0899658203125,104.46385955810547
2016-06-29,2070.77001953125,105.33663177490234
2016-06-30,2098.860107421875,106.08592987060547
2016-07-01,2102.949951171875,106.13885498046875
2016-07-05,2088.550048828125,106.45619201660156
2016-07-06,2099.72998046875,106.34159088134766
2016-07-07,2097.89990234375,106.59723663330078
2016-07-08,2129.89990234375,106.94102478027344
2016-07-11,2137.159912109375,107.54930114746094
2016-07-12,2152.139892578125,107.76969909667969
2016-07-13,2152.429931640625,108.27217864990234
2016-07-14,2163.75,109.2507095336914
2016-07-15,2161.739990234375,108.96861267089844
2016-07-18,2166.889892578125,109.1361083984375
2016-07-19,2163.780029296875,111.51628112792969
2016-07-20,2173.02001953125,111.12841796875
2016-07-21,2165.169921875,112.11576080322266
2016-07-22,2175.030029296875,113.06781768798828
2016-07-25,2168.47998046875,112.3096923828125
2016-07-26,2169.179931640625,107.29366302490234
2016-07-27,2166.580078125,105.32779693603516
2016-07-28,2170.06005859375,105.27490997314453
2016-07-29,2173.60009765625,103.71456909179688
2016-08-01,2170.840087890625,104.03192138671875
2016-08-02,2157.030029296875,103.75862884521484
2016-08-03,2163.7900390625,103.59996032714844
2016-08-04,2164.25,104.28756713867188
2016-08-05,2182.8701171875,105.08977508544922
2016-08-08,2180.889892578125,104.27873992919922
2016-08-09,2181.739990234375,104.29639434814453
2016-08-10,2175.489990234375,104.72834777832031
2016-08-11,2185.7900390625,105.23963928222656
2016-08-12,2184.050048828125,105.36307525634766
2016-08-15,2190.14990234375,104.48151397705078
2016-08-16,2178.14990234375,103.97023010253906
2016-08-17,2182.219970703125,103.22970581054688
2016-08-18,2187.02001953125,103.25616455078125
2016-08-19,2183.8701171875,101.38726806640625
2016-08-22,2182.639892578125,101.74868774414062
2016-08-23,2186.89990234375,101.54595947265625
2016-08-24,2175.43994140625,101.26385498046875
2016-08-25,2172.469970703125,101.75753021240234
2016-08-26,2169.0400390625,100.88479614257812
2016-08-29,2180.3798828125,101.73988342285156
2016-08-30,2176.1201171875,102.48615264892578
2016-08-31,2170.949951171875,102.75265502929688
2016-09-01,2170.860107421875,102.52166748046875
2016-09-02,2179.97998046875,102.9037094116211
2016-09-06,2186.47998046875,104.16521453857422
2016-09-07,2186.159912109375,103.87205505371094
2016-09-08,2181.300048828125,103.20574951171875
2016-09-09,2127.81005859375,101.79319763183594
2016-09-12,2159.0400390625,103.01031494140625
2016-09-13,2127.02001953125,101.92645263671875
2016-09-14,2125.77001953125,102.32624053955078
2016-09-15,2147.260009765625,103.1791000366211
2016-09-16,2139.159912109375,102.41506958007812
2016-09-19,2139.1201171875,102.35286712646484
2016-09-20,2139.760009765625,103.45450592041016
2016-09-21,2163.1201171875,103.88092803955078
2016-09-22,2177.179931640625,104.2629623413086
2016-09-23,2164.68994140625,104.09416198730469
2016-09-26,2146.10009765625,103.52558135986328
2016-09-27,2159.929931640625,103.83650970458984
2016-09-28,2171.3701171875,102.32624053955078
2016-09-29,2151.1298828125,101.97977447509766
2016-09-30,2168.27001953125,102.48615264892578
2016-10-03,2161.199951171875,101.84648895263672
2016-10-04,2150.489990234375,100.8337173461914
2016-10-05,2159.72998046875,100.75376892089844
2016-10-06,2160.77001953125,101.20684814453125
2016-10-07,2153.739990234375,100.78929138183594
2016-10-10,2163.659912109375,101.90869140625
2016-10-11,2136.72998046875,100.9936294555664
2016-10-12,2139.179931640625,101.90869140625
2016-10-13,2132.550048828125,102.53057098388672
2016-10-14,2132.97998046875,101.35786437988281
2016-10-17,2126.5,99.8653793334961
2016-10-18,2139.60009765625,98.83482360839844
2016-10-19,2144.2900390625,98.84370422363281
2016-10-20,2141.340087890625,98.23070526123047
2016-10-21,2141.159912109375,101.21572875976562
2016-10-24,2151.330078125,100.8958969116211
2016-10-25,2143.159912109375,100.1407699584961
2016-10-26,2139.429931640625,99.59883117675781
2016-10-27,2133.0400390625,99.57218170166016
2016-10-28,2126.409912109375,99.5899429321289
2016-10-31,2126.14990234375,100.00750732421875
2016-11-01,2111.719970703125,99.72321319580078
2016-11-02,2097.93994140625,99.84758758544922
2016-11-03,2088.659912109375,99.25235748291016
2016-11-04,2085.179931640625,98.64824676513672
2016-11-07,2131.52001953125,100.22959899902344
2016-11-08,2139.56005859375,101.37564086914062
2016-11-09,2163.260009765625,102.1485595703125
2016-11-10,2167.47998046875,101.73100280761719
2016-11-11,2164.449951171875,101.47335815429688
2016-11-14,2164.199951171875,104.70716857910156
2016-11-15,2180.389892578125,105.11582946777344
2016-11-16,2176.93994140625,105.906494140625
2016-11-17,2187.1201171875,106.11971282958984
2016-11-18,2181.89990234375,106.60834503173828
2016-11-21,2198.179931640625,106.16415405273438
2016-11-22,2202.93994140625,106.33294677734375
2016-11-23,2204.719970703125,106.73270416259766
2016-11-25,2213.35009765625,107.19467163085938
