Date,AFL,ALL,AXP,AIG,AMP,AON,AJG,AIZ,BAC,BK,BRK-B,BLK,COF,CBOE,SCHW,CB,CINF,C,CFG,CME,CMA,DFS,RE,FITB,FRC,BEN,GL,GS,HIG,HBAN,ICE,IVZ,JPM,KEY,LNC,L,MTB,MKTX,MMC,MET,MCO,MS,MSCI,NDAQ,NTRS,PBCT,PNC,PFG,PGR,PRU,RJF,RF,SPGI,STT,SIVB,SYF,TROW,TRV,TFC,USB,UNM,WRB,WFC,WTW,ZION
2016-08-26,31.927791595458984,60.57143783569336,59.53227233886719,50.56139373779297,85.7798080444336,103.84210968017578,43.565643310546875,78.08951568603516,14.072586059570312,35.838836669921875,147.91000366210938,321.97821044921875,62.96485137939453,66.9011459350586,28.985191345214844,111.73463439941406,65.13624572753906,40.32890319824219,19.838394165039062,86.4252700805664,38.63929748535156,51.90309524536133,167.7133331298828,16.40423583984375,72.21674346923828,27.421796798706055,60.5279541015625,150.07350158691406,35.01017379760742,7.746164321899414,51.76930236816406,23.759740829467773,56.59652328491211,10.177192687988281,40.1151008605957,40.19194412231445,101.41085815429688,159.71458435058594,60.748470306396484,30.319412231445312,100.5479507446289,26.967649459838867,84.0008544921875,63.83051300048828,60.30830383300781,12.470441818237305,73.6054916381836,38.693511962890625,26.825191497802734,61.36692810058594,35.038578033447266,8.168695449829102,115.33386993408203,59.66459655761719,108.51000213623047,23.402997970581055,57.938724517822266,102.35707092285156,31.702714920043945,36.480873107910156,28.226055145263672,22.677839279174805,41.036746978759766,113.26081848144531,26.136192321777344
2016-08-29,32.3447151184082,61.2396125793457,60.203025817871094,50.91264343261719,86.38169860839844,105.17282104492188,44.0544548034668,79.00675201416016,14.117148399353027,36.19853973388672,149.3000030517578,324.3294677734375,63.39273452758789,67.04679870605469,29.07883644104004,112.77293395996094,66.1278305053711,40.457305908203125,20.118038177490234,87.62518310546875,38.89496612548828,52.515708923339844,168.83389282226562,16.50420379638672,72.92021179199219,27.52796745300293,61.07180404663086,150.8872833251953,35.42288589477539,7.8021240234375,51.93336868286133,23.821298599243164,57.22041702270508,10.177192687988281,40.65765380859375,40.5834846496582,101.85028839111328,161.30056762695312,61.40849304199219,30.76923179626465,101.4377670288086,27.18401336669922,84.82282257080078,64.38288879394531,60.777896881103516,12.549019813537598,74.64984893798828,39.391056060791016,27.074810028076172,62.1896858215332,35.148902893066406,8.227103233337402,116.31101989746094,60.14834213256836,109.73999786376953,23.673099517822266,57.99761199951172,103.52796936035156,31.786157608032227,36.85072326660156,28.52668571472168,22.845247268676758,41.92498016357422,114.11725616455078,26.435693740844727
2016-08-30,32.599246978759766,61.622676849365234,60.13869094848633,51.09254455566406,87.80350494384766,104.93688201904297,44.02778244018555,79.70133209228516,14.429079055786133,36.59333801269531,150.22999572753906,326.2384033203125,64.03005981445312,67.07591247558594,29.603290557861328,112.91490173339844,66.11927795410156,41.00518798828125,20.34011459350586,88.025146484375,39.13414001464844,52.95962142944336,170.14862060546875,16.795799255371094,73.8067855834961,27.672054290771484,61.58700942993164,153.74671936035156,36.12905502319336,7.9060468673706055,52.19438934326172,23.998262405395508,57.69049072265625,10.31762409210205,41.40691375732422,40.612640380859375,102.23162078857422,162.3867645263672,61.2276496887207,31.422189712524414,102.4601058959961,27.859071731567383,85.00233459472656,64.6002197265625,61.58662414550781,12.721894264221191,75.45648193359375,39.687713623046875,27.141368865966797,62.941246032714844,35.66371536254883,8.318886756896973,116.66204833984375,60.761653900146484,111.41999816894531,23.786367416381836,58.79670715332031,103.51924133300781,31.9864444732666,37.052452087402344,28.957298278808594,22.88028907775879,42.82168197631836,114.13568115234375,26.71758460998535
2016-08-31,32.555362701416016,61.43559265136719,60.25816345214844,51.255313873291016,88.16987609863281,105.08788299560547,44.25168991088867,79.74588012695312,14.451462745666504,36.55825424194336,150.49000549316406,325.4526672363281,65.18627166748047,66.93949890136719,29.462804794311523,112.63981628417969,65.91412353515625,40.868221282958984,20.37301254272461,88.44143676757812,39.00218200683594,53.27035903930664,170.62506103515625,16.795799255371094,74.16334533691406,27.679628372192383,61.71103286743164,153.8284149169922,36.252628326416016,8.001973152160645,52.57844161987305,23.998262405395508,57.69049072265625,10.375449180603027,41.363834381103516,40.67092514038086,102.56100463867188,162.0022430419922,61.14628982543945,31.487485885620117,102.88607788085938,27.746564865112305,85.14404296875,64.48249053955078,61.71778869628906,12.76904010772705,76.50082397460938,39.67154312133789,27.091447830200195,62.79885482788086,35.65146255493164,8.318886756896973,117.20281219482422,60.67527389526367,111.05999755859375,24.248157501220703,58.493892669677734,103.72894287109375,32.1283073425293,37.111289978027344,28.93292236328125,23.113882064819336,42.97395324707031,114.20014190673828,26.946611404418945
2016-09-01,32.41931915283203,61.16831588745117,59.59659194946289,50.895503997802734,87.13185119628906,105.08788299560547,44.260643005371094,79.48760986328125,14.30820083618164,36.38278579711914,150.35000610351562,324.89398193359375,64.71285247802734,67.1928482055664,29.013280868530273,112.79066467285156,66.04234313964844,40.54291534423828,20.167388916015625,88.72712707519531,38.787742614746094,52.91522979736328,169.93679809570312,16.69582748413086,74.08623504638672,27.194293975830078,61.67287063598633,152.966064453125,35.91720962524414,7.962003231048584,53.01283264160156,23.929019927978516,57.44263458251953,10.27631950378418,40.8557243347168,40.13656997680664,101.68560028076172,162.95384216308594,61.29095458984375,31.240816116333008,102.75354766845703,27.616741180419922,84.34097290039062,64.87188720703125,61.56040954589844,12.714035987854004,76.40742492675781,39.51793670654297,27.05816650390625,62.37165069580078,35.33888244628906,8.21876049041748,117.58230590820312,60.57162094116211,110.98999786376953,24.187164306640625,57.82939147949219,103.41438293457031,31.978103637695312,37.01042938232422,28.656679153442383,22.817995071411133,42.660953521728516,114.97369384765625,26.928991317749023
2016-09-02,32.47199249267578,61.42668533325195,59.899803161621094,51.28101348876953,88.196044921875,105.79570007324219,44.771141052246094,80.3603286743164,14.32611083984375,36.540706634521484,150.72000122070312,326.36053466796875,65.22268676757812,66.78356170654297,29.284875869750977,113.42074584960938,66.54669189453125,40.671321868896484,20.29898452758789,88.57202911376953,39.24135971069336,53.288124084472656,170.98423767089844,16.745813369750977,74.32717895507812,27.414216995239258,62.092674255371094,153.57423400878906,36.1820182800293,8.009965896606445,53.20299530029297,24.22139549255371,57.68195724487305,10.3671875,41.38967514038086,40.44747543334961,101.70294952392578,165.8470916748047,61.752052307128906,31.385915756225586,103.58655548095703,27.59943389892578,84.60552215576172,64.89904022216797,61.7702522277832,12.831903457641602,76.8744125366211,39.65537643432617,27.016565322875977,62.88587951660156,35.60242462158203,8.28551197052002,118.9958724975586,61.01216125488281,111.68000030517578,24.222017288208008,58.26676940917969,103.842529296875,32.11996841430664,37.11970138549805,28.778545379638672,22.899747848510742,42.76247024536133,116.52075958251953,27.281352996826172
2016-09-06,32.327152252197266,61.74739074707031,60.42355728149414,50.929771423339844,87.80350494384766,105.89952087402344,44.824867248535156,80.03974151611328,14.129125595092773,36.39155960083008,150.42999267578125,324.3876647949219,64.63092041015625,66.76406860351562,28.77915382385254,113.62483978271484,66.51248931884766,40.48298645019531,19.98644256591797,87.91087341308594,38.598052978515625,52.97738265991211,171.1085205078125,16.554195404052734,72.6214828491211,27.391456604003906,62.064056396484375,153.71041870117188,35.96133804321289,7.882062911987305,53.107913970947266,24.105981826782227,57.63922119140625,10.201976776123047,40.4767951965332,40.3697395324707,100.3681640625,162.32907104492188,61.643558502197266,31.26983070373535,104.21131134033203,27.4782657623291,83.70797729492188,64.74510955810547,61.07954788208008,12.666889190673828,75.97439575195312,39.61495590209961,26.916717529296875,62.173858642578125,35.27146911621094,8.25213623046875,119.33740234375,60.7875862121582,107.30999755859375,24.05647087097168,58.10697555541992,104.2357406616211,31.58588218688965,36.867530822753906,28.5185546875,22.775169372558594,42.28874206542969,117.5614013671875,26.770431518554688
2016-09-07,32.27009582519531,61.86320877075195,60.818660736083984,50.86123275756836,87.8907470703125,105.95614624023438,45.183128356933594,80.26235961914062,14.057493209838867,36.22487258911133,149.5800018310547,326.0900573730469,65.3410415649414,66.88101196289062,28.81661605834961,113.17225646972656,66.40137481689453,40.64564514160156,20.208515167236328,87.67281341552734,38.75475311279297,52.86196517944336,173.158935546875,16.67916488647461,73.54661560058594,27.656883239746094,61.86368942260742,154.01904296875,36.6321907043457,7.91403865814209,52.882320404052734,24.21370506286621,57.39990234375,10.218496322631836,40.4165153503418,40.321163177490234,100.54150390625,162.46359252929688,61.55313491821289,31.2625789642334,104.26810455322266,27.426342010498047,84.14259338378906,64.20178985595703,60.9308967590332,12.792612075805664,76.77250671386719,39.69580841064453,26.89175796508789,62.11057662963867,35.553401947021484,8.365524291992188,119.24250793457031,60.9603385925293,108.19000244140625,24.230728149414062,58.32566833496094,104.28849029541016,31.5942325592041,36.69941711425781,28.445425033569336,22.86860466003418,42.10263442993164,118.3810043334961,26.937803268432617
2016-09-08,32.01116943359375,61.667240142822266,60.864585876464844,50.578529357910156,87.88201141357422,105.32383728027344,45.039817810058594,80.1020736694336,14.20075511932373,36.35646438598633,149.77999877929688,325.0773620605469,65.80535888671875,66.79330444335938,28.957094192504883,112.2671127319336,66.19621276855469,40.91101837158203,20.496387481689453,87.4019546508789,38.73826599121094,53.02177429199219,171.5256805419922,16.779136657714844,73.96098327636719,27.816133499145508,61.87322998046875,155.8254852294922,36.173187255859375,7.9060468673706055,52.67351531982422,24.229093551635742,57.47682189941406,10.243279457092285,40.59736633300781,40.5834846496582,100.72351837158203,162.17529296875,61.42656707763672,31.53827667236328,104.0693130493164,27.729251861572266,82.43251037597656,63.57698059082031,61.05331802368164,12.784754753112793,77.02725219726562,39.582611083984375,26.625497817993164,62.25297164916992,35.55952835083008,8.340325355529785,119.28046417236328,60.934417724609375,108.48999786376953,23.821218490600586,57.90509796142578,102.72431945800781,31.902996063232422,36.85072326660156,28.5185546875,22.701196670532227,42.21261215209961,115.49859619140625,27.034706115722656
2016-09-09,31.77417755126953,60.54469299316406,59.83548355102539,50.26155471801758,86.71318054199219,102.80397033691406,44.036739349365234,79.46092987060547,14.093310356140137,35.90903091430664,146.6199951171875,316.1730041503906,65.2317886352539,66.26705932617188,28.7042293548584,110.28816223144531,64.53788757324219,40.380271911621094,20.405908584594727,87.04900360107422,38.103206634521484,52.15169143676758,168.0373077392578,16.604185104370117,73.02622985839844,26.981952667236328,61.4152717590332,153.02052307128906,36.2349739074707,7.882062911987305,52.62131881713867,23.682802200317383,56.96402359008789,10.127628326416016,40.450965881347656,40.039405822753906,101.4862289428711,164.73211669921875,59.66351318359375,31.857501983642578,100.9266128540039,27.339797973632812,80.0516586303711,62.463199615478516,60.283912658691406,12.635457038879395,76.34799194335938,39.10561752319336,25.993144989013672,62.640625,35.179534912109375,8.256336212158203,115.95050811767578,60.20880889892578,107.80999755859375,23.4639949798584,56.761112213134766,100.56263732910156,31.87795639038086,36.489280700683594,28.64043426513672,22.206764221191406,41.214393615722656,112.3859634399414,26.928991317749023
